epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1836.44,1.50336,0.93054,1.01997,0.7038,0.59157,0.63474,0.35496,1.56718,0.97961,1.07459,0.000494885,0.000494885,0.000494885
43,1880.17,1.48556,0.92457,1.02181,0.59246,0.62303,0.61278,0.33683,1.59143,1.00219,1.08072,0.000486639,0.000486639,0.000486639
44,1923.34,1.48995,0.92398,1.02092,0.67421,0.61095,0.63804,0.34655,1.56958,0.97651,1.07685,0.000478392,0.000478392,0.000478392
45,1965.99,1.50148,0.9342,1.02327,0.68805,0.56639,0.60631,0.34615,1.58091,0.98953,1.0729,0.000470145,0.000470145,0.000470145
46,2008.61,1.47917,0.91935,1.01453,0.67546,0.6332,0.60448,0.33124,1.6245,1.00991,1.08634,0.000461898,0.000461898,0.000461898
47,2050.88,1.48503,0.92256,1.01622,0.62968,0.64026,0.62287,0.34377,1.62261,1.00568,1.08092,0.000453652,0.000453652,0.000453652
48,2093.81,1.47442,0.9115,1.01414,0.70449,0.56452,0.61919,0.34766,1.57111,0.98176,1.06415,0.000445405,0.000445405,0.000445405
49,2137.72,1.47819,0.90048,1.01507,0.59565,0.64842,0.6233,0.34432,1.5966,0.97215,1.07409,0.000437158,0.000437158,0.000437158
50,2180.99,1.46161,0.89978,1.01682,0.63504,0.62953,0.62385,0.35485,1.56556,0.96342,1.07192,0.000428912,0.000428912,0.000428912
51,2223.81,1.46567,0.89079,1.01523,0.66292,0.60498,0.6248,0.34411,1.58757,0.97238,1.07389,0.000420665,0.000420665,0.000420665
52,2266.7,1.44548,0.87565,1.00373,0.57616,0.63862,0.6075,0.33537,1.61444,0.99454,1.08643,0.000412418,0.000412418,0.000412418
53,2309.22,1.44206,0.87133,1.00388,0.62912,0.60851,0.62162,0.3437,1.597,0.97864,1.078,0.000404172,0.000404172,0.000404172
54,2352.1,1.44179,0.86432,1.00281,0.61042,0.62308,0.603,0.3283,1.62472,0.99111,1.08885,0.000395925,0.000395925,0.000395925
55,2394.85,1.44712,0.86346,1.00463,0.65862,0.63944,0.62962,0.34814,1.58419,0.9763,1.08012,0.000387678,0.000387678,0.000387678
56,2437.58,1.44433,0.87021,1.00573,0.63261,0.65452,0.62635,0.34809,1.61044,0.96771,1.08626,0.000379431,0.000379431,0.000379431
57,2481.21,1.43813,0.85615,0.99858,0.6438,0.61428,0.6294,0.34792,1.58112,0.98851,1.07216,0.000371185,0.000371185,0.000371185
58,2524.61,1.43306,0.85047,0.99728,0.62688,0.63999,0.6334,0.35446,1.59583,0.9868,1.08008,0.000362938,0.000362938,0.000362938
59,2567.66,1.42122,0.83464,0.9979,0.70087,0.60501,0.63643,0.35562,1.58262,0.95464,1.07452,0.000354691,0.000354691,0.000354691
60,2610.94,1.41493,0.84064,0.99144,0.65801,0.58942,0.62079,0.34411,1.59936,0.97457,1.08373,0.000346445,0.000346445,0.000346445
61,2654.36,1.40687,0.81943,0.98772,0.67608,0.5985,0.63454,0.35457,1.60139,0.95299,1.08173,0.000338198,0.000338198,0.000338198
62,2698.11,1.42797,0.82327,0.99382,0.6532,0.60713,0.62509,0.35201,1.59175,0.9701,1.08075,0.000329951,0.000329951,0.000329951
63,2741.71,1.40333,0.81865,0.9886,0.62224,0.64066,0.62161,0.34441,1.61148,0.97762,1.08418,0.000321705,0.000321705,0.000321705
64,2785.23,1.4062,0.80586,0.98798,0.70722,0.6105,0.64504,0.35803,1.60564,0.98152,1.08695,0.000313458,0.000313458,0.000313458
65,2828.77,1.39666,0.80578,0.98507,0.6204,0.64818,0.6339,0.35854,1.58954,0.94257,1.08478,0.000305211,0.000305211,0.000305211
66,2872.68,1.39485,0.80663,0.98897,0.6345,0.63904,0.62668,0.34626,1.59669,0.9536,1.08181,0.000296964,0.000296964,0.000296964
67,2927.53,1.3808,0.79129,0.98111,0.67805,0.59075,0.62544,0.34975,1.61338,0.96094,1.08543,0.000288718,0.000288718,0.000288718
68,2973.68,1.39927,0.79423,0.98883,0.65813,0.62466,0.62654,0.3504,1.6181,0.96809,1.08562,0.000280471,0.000280471,0.000280471
69,3015.39,1.37269,0.7674,0.98445,0.64057,0.60538,0.61058,0.33911,1.62488,0.98412,1.08654,0.000272224,0.000272224,0.000272224
70,3058.99,1.37505,0.79137,0.98077,0.62107,0.61967,0.60876,0.34395,1.60035,0.95945,1.08336,0.000263978,0.000263978,0.000263978
71,3102.75,1.37671,0.77515,0.98088,0.66037,0.58255,0.6166,0.33826,1.61815,0.96528,1.08802,0.000255731,0.000255731,0.000255731
72,3146.4,1.37473,0.77326,0.98075,0.64872,0.60996,0.62694,0.34735,1.6134,0.96967,1.09111,0.000247484,0.000247484,0.000247484
73,3189.78,1.34741,0.75497,0.97984,0.70958,0.57085,0.62421,0.34828,1.60143,0.95664,1.07968,0.000239238,0.000239238,0.000239238
74,3232.38,1.34756,0.75198,0.97396,0.63487,0.64374,0.63218,0.34856,1.63197,0.95799,1.09267,0.000230991,0.000230991,0.000230991
75,3275.67,1.36007,0.75048,0.97761,0.67552,0.61451,0.62245,0.34906,1.61978,0.95786,1.0899,0.000222744,0.000222744,0.000222744
76,3318.47,1.34151,0.74351,0.97198,0.61816,0.6267,0.62283,0.34599,1.61575,0.96131,1.08622,0.000214497,0.000214497,0.000214497
77,3360.74,1.33916,0.73888,0.97236,0.58592,0.64953,0.61729,0.34121,1.6278,0.97719,1.09414,0.000206251,0.000206251,0.000206251
78,3405.46,1.3297,0.73617,0.96934,0.65024,0.6168,0.62017,0.34533,1.60912,0.97114,1.08058,0.000198004,0.000198004,0.000198004
79,3449.75,1.33965,0.74304,0.97155,0.66916,0.61496,0.62792,0.35003,1.60677,0.95957,1.08106,0.000189757,0.000189757,0.000189757
80,3493.16,1.32512,0.72049,0.96565,0.62665,0.63957,0.61768,0.3432,1.62943,0.97243,1.09397,0.000181511,0.000181511,0.000181511
81,3536.41,1.32731,0.72361,0.97237,0.6088,0.64755,0.62031,0.34571,1.62593,0.98048,1.09362,0.000173264,0.000173264,0.000173264
82,3579.9,1.31339,0.70658,0.96426,0.6034,0.65518,0.62467,0.35113,1.62061,0.96936,1.09314,0.000165017,0.000165017,0.000165017
83,3623.61,1.31941,0.71016,0.96756,0.6649,0.61288,0.6261,0.34711,1.63101,0.96945,1.0913,0.000156771,0.000156771,0.000156771
84,3667.93,1.30369,0.70567,0.96119,0.65103,0.62663,0.62401,0.34895,1.62917,0.97833,1.09071,0.000148524,0.000148524,0.000148524
85,3711.75,1.31721,0.7114,0.96256,0.67513,0.60044,0.62297,0.34059,1.63275,0.9672,1.09184,0.000140277,0.000140277,0.000140277
86,3755.79,1.31218,0.71234,0.95987,0.64098,0.63855,0.6337,0.35162,1.62999,0.95452,1.09606,0.000132031,0.000132031,0.000132031
87,3799.78,1.30377,0.69492,0.95909,0.62383,0.6377,0.6307,0.34936,1.6312,0.9533,1.09875,0.000123784,0.000123784,0.000123784
88,3843.18,1.29613,0.69423,0.95708,0.6011,0.64157,0.62063,0.34525,1.63717,0.98317,1.09909,0.000115537,0.000115537,0.000115537
89,3886.83,1.27936,0.68237,0.9555,0.62727,0.62086,0.62583,0.3513,1.63624,0.97364,1.09746,0.00010729,0.00010729,0.00010729
90,3930.46,1.28028,0.68938,0.95207,0.63828,0.64142,0.63212,0.35325,1.6352,0.96001,1.09907,9.90437e-05,9.90437e-05,9.90437e-05
91,3991.96,1.31449,0.68073,0.97292,0.6411,0.63758,0.61749,0.33949,1.64382,0.9709,1.10578,9.0797e-05,9.0797e-05,9.0797e-05
92,4043.34,1.27116,0.6529,0.96012,0.63815,0.64849,0.62895,0.34836,1.63169,0.95971,1.09639,8.25503e-05,8.25503e-05,8.25503e-05
93,4092.83,1.26077,0.64473,0.95591,0.64199,0.63547,0.62312,0.3445,1.64598,0.96345,1.10289,7.43036e-05,7.43036e-05,7.43036e-05
94,4141.33,1.25483,0.63433,0.9562,0.65362,0.62585,0.62489,0.34513,1.63553,0.96656,1.0981,6.60569e-05,6.60569e-05,6.60569e-05
95,4190.04,1.2645,0.63466,0.95536,0.66038,0.63518,0.62744,0.34589,1.63967,0.97044,1.09943,5.78102e-05,5.78102e-05,5.78102e-05
96,4237.86,1.24342,0.62646,0.95342,0.66559,0.62233,0.62459,0.34823,1.64454,0.97649,1.10192,4.95635e-05,4.95635e-05,4.95635e-05
97,4287.43,1.23726,0.62117,0.9526,0.63279,0.6464,0.62812,0.34977,1.64822,0.97613,1.10371,4.13168e-05,4.13168e-05,4.13168e-05
98,4338.17,1.22515,0.61683,0.94935,0.6575,0.62929,0.62504,0.34784,1.64409,0.97287,1.10214,3.30701e-05,3.30701e-05,3.30701e-05
99,4390.04,1.22845,0.60925,0.94651,0.65491,0.62537,0.63231,0.35132,1.64308,0.97315,1.10144,2.48234e-05,2.48234e-05,2.48234e-05
100,4440.71,1.21881,0.60841,0.94469,0.68941,0.60465,0.62721,0.3492,1.64545,0.97594,1.10166,1.65767e-05,1.65767e-05,1.65767e-05
